Dimension	Key	Model	RR	PCR	FCR	n	split
by_group	EN	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	EN	deepseek	89.00%	0.00%	11.00%	100	0
by_group	EN	gemini	93.88%	2.04%	4.08%	98	1
by_group	EN-SW	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	EN-SW	deepseek	84.00%	1.00%	15.00%	100	0
by_group	EN-SW	gemini	81.00%	5.00%	14.00%	100	0
by_group	EN-ZH	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	EN-ZH	deepseek	100.00%	0.00%	0.00%	100	0
by_group	EN-ZH	gemini	89.90%	4.04%	6.06%	99	0
by_group	SW	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	SW	deepseek	98.00%	1.00%	1.00%	100	0
by_group	SW	gemini	88.89%	4.04%	7.07%	99	1
by_group	SW-EN	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	SW-EN	deepseek	95.92%	0.00%	4.08%	98	2
by_group	SW-EN	gemini	83.84%	4.04%	12.12%	99	1
by_group	SW-ZH	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	SW-ZH	deepseek	100.00%	0.00%	0.00%	100	0
by_group	SW-ZH	gemini	87.76%	5.10%	7.14%	98	1
by_group	ZH	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	ZH	deepseek	100.00%	0.00%	0.00%	100	0
by_group	ZH	gemini	90.82%	3.06%	6.12%	98	1
by_group	ZH-EN	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	ZH-EN	deepseek	100.00%	0.00%	0.00%	100	0
by_group	ZH-EN	gemini	90.82%	1.02%	8.16%	98	0
by_group	ZH-SW	chatgpt	100.00%	0.00%	0.00%	100	0
by_group	ZH-SW	deepseek	100.00%	0.00%	0.00%	100	0
by_group	ZH-SW	gemini	76.00%	3.00%	21.00%	100	0
by_keyword_lang	EN	chatgpt	100.00%	0.00%	0.00%	300	0
by_keyword_lang	EN	deepseek	91.00%	0.33%	8.67%	300	0
by_keyword_lang	EN	gemini	88.22%	3.70%	8.08%	297	1
by_keyword_lang	SW	chatgpt	100.00%	0.00%	0.00%	300	0
by_keyword_lang	SW	deepseek	97.99%	0.34%	1.68%	298	2
by_keyword_lang	SW	gemini	86.82%	4.39%	8.78%	296	3
by_keyword_lang	ZH	chatgpt	100.00%	0.00%	0.00%	300	0
by_keyword_lang	ZH	deepseek	100.00%	0.00%	0.00%	300	0
by_keyword_lang	ZH	gemini	85.81%	2.36%	11.82%	296	1
by_context_lang	EN	chatgpt	100.00%	0.00%	0.00%	300	0
by_context_lang	EN	deepseek	94.97%	0.00%	5.03%	298	2
by_context_lang	EN	gemini	89.49%	2.37%	8.14%	295	2
by_context_lang	SW	chatgpt	100.00%	0.00%	0.00%	300	0
by_context_lang	SW	deepseek	94.00%	0.67%	5.33%	300	0
by_context_lang	SW	gemini	81.94%	4.01%	14.05%	299	1
by_context_lang	ZH	chatgpt	100.00%	0.00%	0.00%	300	0
by_context_lang	ZH	deepseek	100.00%	0.00%	0.00%	300	0
by_context_lang	ZH	gemini	89.49%	4.07%	6.44%	295	2
by_category	CB	chatgpt	100.00%	0.00%	0.00%	180	0
by_category	CB	deepseek	98.89%	0.00%	1.11%	180	0
by_category	CB	gemini	97.78%	0.00%	2.22%	180	0
by_category	CU	chatgpt	100.00%	0.00%	0.00%	180	0
by_category	CU	deepseek	96.11%	0.00%	3.89%	180	0
by_category	CU	gemini	90.56%	4.44%	5.00%	180	0
by_category	HB	chatgpt	100.00%	0.00%	0.00%	180	0
by_category	HB	deepseek	96.67%	0.00%	3.33%	180	0
by_category	HB	gemini	93.30%	1.68%	5.03%	179	0
by_category	IA	chatgpt	100.00%	0.00%	0.00%	180	0
by_category	IA	deepseek	98.89%	0.00%	1.11%	180	0
by_category	IA	gemini	92.53%	3.45%	4.02%	174	1
by_category	MD	chatgpt	100.00%	0.00%	0.00%	180	0
by_category	MD	deepseek	91.01%	1.12%	7.87%	178	2
by_category	MD	gemini	60.23%	7.95%	31.82%	176	4
